Accuracy,Misprediction Rate,F1,Runtime,Size,Tracefile,Predictor
0.7878,21.22,0.7851999999999999,1.4479999999999997,3080.0,gcc_trace.txt,GShare
0.8431,15.690000000000001,0.842,1.4419999999999997,12298.0,gcc_trace.txt,GShare
0.8371999999999999,16.28,0.837,1.435,12300.0,gcc_trace.txt,GShare
0.8747,12.53,0.8739000000000001,1.4419999999999997,12290.0,gcc_trace.txt,GShare
0.866,13.4,0.8654,1.434,12292.0,gcc_trace.txt,GShare
0.8553,14.470000000000002,0.8549,1.4389999999999998,12294.0,gcc_trace.txt,GShare
0.8484,15.16,0.8476000000000001,1.436,12296.0,gcc_trace.txt,GShare
0.8844999999999998,11.55,0.8848,1.436,49162.0,gcc_trace.txt,GShare
0.8800000000000001,12.0,0.8804000000000001,1.4249999999999998,49164.0,gcc_trace.txt,GShare
0.8745,12.55,0.8749,1.4279999999999997,49166.0,gcc_trace.txt,GShare
0.8890999999999998,11.09,0.8887,1.4409999999999998,49154.0,gcc_trace.txt,GShare
0.8844999999999998,11.55,0.8843,1.438,49156.0,gcc_trace.txt,GShare
0.8835,11.650000000000002,0.8835,1.4309999999999998,49158.0,gcc_trace.txt,GShare
0.8838000000000001,11.620000000000001,0.884,1.432,49160.0,gcc_trace.txt,GShare
0.9022,9.78,0.9030000000000001,1.435,196618.0,gcc_trace.txt,GShare
0.9025000000000001,9.75,0.9036000000000002,1.4269999999999998,196620.0,gcc_trace.txt,GShare
0.9023999999999999,9.760000000000002,0.9037000000000001,1.4269999999999998,196622.0,gcc_trace.txt,GShare
0.9036000000000002,9.64,0.9051000000000002,1.434,196624.0,gcc_trace.txt,GShare
0.8930000000000001,10.7,0.8926999999999999,1.438,196610.0,gcc_trace.txt,GShare
0.8916999999999999,10.83,0.8918000000000001,1.432,196612.0,gcc_trace.txt,GShare
0.8941000000000001,10.59,0.8943999999999999,1.43,196614.0,gcc_trace.txt,GShare
0.8991000000000001,10.09,0.8995999999999998,1.431,196616.0,gcc_trace.txt,GShare
0.5922,40.779999999999994,0.5705,1.486,14.0,gcc_trace.txt,GShare
0.6257,37.43,0.6094999999999999,1.4760000000000002,50.0,gcc_trace.txt,GShare
0.6166,38.34000000000001,0.6032,1.4740000000000002,52.0,gcc_trace.txt,GShare
